experiment,model,precision,recall,f1,pr_auc,roc_auc,fp,fn,tp
supervised,logreg,0.6823467230443975,0.7744451109778044,0.72548468670975,0.7980482685129652,0.9811875367040594,601,376,1291
supervised,random_forest,0.9677881173944166,0.8110377924415118,0.8825065274151436,0.9167704547230642,0.9848162747085336,45,315,1352
supervised,xgboost,0.9593613933236574,0.7930413917216557,0.8683087027914614,0.9191680024231791,0.9864783473853099,56,345,1322
supervised,lightgbm,0.9764532744665195,0.7960407918416317,0.8770654329147389,0.9266486980298779,0.9859508363960855,32,340,1327
anomaly,isolation_forest,0.20874373595991014,0.7246550689862028,0.3241212771666219,0.32932877203456506,0.9440093696811274,4579,459,1208
anomaly,autoencoder,0.3824688115561392,0.6988602279544092,0.4943772544027159,0.5091822651141616,0.9321325419476149,1881,502,1165
unseen_scenario_2,supervised_lightgbm,0.008403361344537815,0.00048638132295719845,0.0009195402298850574,0.011383736436676678,0.6590470139953968,118,2055,1
unseen_scenario_2,autoencoder_recall_threshold,0.04007938918929866,0.9625486381322957,0.07695448447494799,0.5013487296731983,0.9764890852986203,47398,77,1979
unseen_scenario_2,autoencoder_quantile_threshold,0.4572926302806044,0.7213035019455253,0.5597282506133233,0.5013487296731983,0.9764890852986203,1760,573,1483
unseen_scenario_2,hybrid_weighted_average,0.008403361344537815,0.00048638132295719845,0.0009195402298850574,0.12070305285637405,0.9640150139959005,118,2055,1
unseen_scenario_2,hybrid_max,0.008403361344537815,0.00048638132295719845,0.0009195402298850574,0.17258212454374142,0.9692398159154451,118,2055,1
unseen_scenario_2,hybrid_probabilistic_or,0.008403361344537815,0.00048638132295719845,0.0009195402298850574,0.1654653802596306,0.9688761997113875,118,2055,1
unseen_scenario_2,hybrid_two_threshold_or,0.44361352078970984,0.7213035019455253,0.5493609927764401,,,1860,573,1483
unseen_scenario_3,supervised_lightgbm,0.8801652892561983,0.21668362156663276,0.34775510204081633,0.3308486110423835,0.6397145714107053,29,770,213
unseen_scenario_3,autoencoder_recall_threshold,0.12639821029082773,0.34486266531027465,0.1849931787175989,0.1162267411849498,0.8879018244689094,2343,644,339
unseen_scenario_3,autoencoder_quantile_threshold,0.27365356622998543,0.19125127161749747,0.2251497005988024,0.1162267411849498,0.8879018244689094,499,795,188
unseen_scenario_3,hybrid_weighted_average,0.8801652892561983,0.21668362156663276,0.34775510204081633,0.3311218847877526,0.7071949927944202,29,770,213
unseen_scenario_3,hybrid_max,0.8801652892561983,0.21668362156663276,0.34775510204081633,0.3315726777317867,0.7493531187815916,29,770,213
unseen_scenario_3,hybrid_probabilistic_or,0.8801652892561983,0.21668362156663276,0.34775510204081633,0.3318210712151618,0.7424158161210554,29,770,213
unseen_scenario_3,hybrid_two_threshold_or,0.3409090909090909,0.2746693794506612,0.30422535211267604,,,522,713,270
